Variable,Title1,Title2,Title3,Type,Not Experience,Weight,Flag
CONTROL,Control number,"CONTROL is sequentially assigned each survey year. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years.",NA,N/A,FALSE,FALSE,FALSE
TOTROOMS,Number of rooms in unit,The total number of rooms is the sum of all rooms reported by the respondent.,NA,Continuous,TRUE,FALSE,FALSE
PERPOVLVL,Household income as percent of poverty threshold (rounded),This item calculates household income as a percent of the poverty threshold located in the POVLVLINC variable.,NA,Continuous,TRUE,FALSE,FALSE
JACPRIMARY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JACSECNDRY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JADEQUACY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JBATHEXCLU,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JBATHROOMS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JBEDROOMS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JBLD,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLD,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDCOST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDEQ,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDEQFREQ,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDHTCAP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDINSUL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDOTHER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOLDUTIL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCONDO,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOOKFUEL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JCOOKTYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JDINING,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JDISHH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JDISHWASH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JDRYER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JDWNPAYPCT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JELECAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JENTRYSYS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFINCP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFINROOMS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFIREPLACE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFIRSTHOME,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFLOORHOLE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFNDCRUMB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFOUNDTYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFRIDGE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JFUSEBLOW,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JGARAGE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JGASAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JGRANDHH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JGUTREHB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHEATFUEL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHEATTYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHADLTKIDS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHAGE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHCARE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHCITSHP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHERRND,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHGRAD,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHHEAR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHINUSYR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHMAR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHMEMRY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHMOVE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHNATVTY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHOLDKIDS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHRACE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHRACEAS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHRACEPI,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHSEE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHSEX,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHSPAN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHWALK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHHYNGKIDS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHINCP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHMRACCESS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHMRENEFF,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHMRSALE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHOA,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHOAAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHOTWATER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHOWBUY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHRATE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHSHLDTYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JHUDSUB,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JINSURAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JKITCHENS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JKITCHSINK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JKITEXCLU,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLAUNDY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEADINSP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKI,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKIDK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKIOTH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKIPIPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKIPLUM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKIWATH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKO,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKOBASE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKOOTH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKOROOF,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLEAKOWALL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLOTAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JLOTSIZE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMAINTAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMARKETVAL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMGRONSITE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMHANCHOR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMHMOVE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMHWIDE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMILHH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDBASEM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDBATH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDBEDRM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDKITCH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDLROOM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOLDOTHER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMONLSTOCC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMORTAMT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMOVFORCE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMULTIGEN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1COST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1LOC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1PER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1STAT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1TEN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG1TYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2COST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2LOC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2PER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2STAT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2TEN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG2TYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3COST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3LOC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3PER,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3STAT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3TEN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JMVG3TYPE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNEARABAND,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNEARBARCL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNEARTRASH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNHQPCRIME,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNHQPUBTRN,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNHQRISK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNHQSCHOOL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNHQSCRIME,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNORC,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOSTEP,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOTOIL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOTOILFREQ,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOWAT,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOWATFREQ,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNOWIRE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNRATE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMADULTS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMCARE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMELDERS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMERRND,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMHEAR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMMEMRY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMNONREL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMOLDKIDS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMPEOPLE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMSECFAM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMSEE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMSUBFAM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMVETS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMWALK,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JNUMYNGKIDS,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCAPRIL,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCAUGUST,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCDECEM,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCFEBRU,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCJANUR,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCJULY,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCJUNE,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
JOCCMARCH,#N/A,#N/A,#N/A,N/A,N/A,FALSE,TRUE
